# Residuals   
# Time        	p_rgh         	Ux            	Uy            
0             	N/A	N/A
2.84          	2.468192e-07	3.993596e-07	9.397870e-07
2.85          	2.636037e-07	4.546212e-07	9.763593e-07
2.86          	2.766582e-07	4.013463e-07	9.729492e-07
2.87          	2.968661e-07	4.596070e-07	1.053220e-06
2.88          	3.065565e-07	4.063120e-07	1.015339e-06
2.89          	3.296992e-07	4.689878e-07	1.107509e-06
2.9           	3.359402e-07	4.182170e-07	1.062934e-06
2.91          	3.629877e-07	4.850199e-07	1.143553e-06
2.92          	3.650017e-07	4.331118e-07	1.091047e-06
2.93          	3.955029e-07	5.019973e-07	1.180725e-06
2.94          	3.959869e-07	4.484289e-07	1.123934e-06
2.95          	4.543668e-07	4.929491e-07	1.287345e-06
2.96          	4.250305e-07	4.490659e-07	1.150422e-06
2.97          	4.851852e-07	4.992007e-07	1.332097e-06
2.98          	4.632744e-07	4.603207e-07	1.190722e-06
2.99          	5.317886e-07	5.173104e-07	1.432022e-06
3             	4.941665e-07	4.800380e-07	1.266555e-06
3.01          	5.667625e-07	5.387924e-07	1.525191e-06
3.02          	5.177967e-07	5.010048e-07	1.311565e-06
3.03          	6.022374e-07	5.557255e-07	1.599621e-06
3.04          	5.456059e-07	5.157082e-07	1.350719e-06
3.05          	6.354007e-07	5.690115e-07	1.701792e-06
3.06          	5.735669e-07	5.261453e-07	1.404276e-06
3.07          	6.715533e-07	5.792506e-07	1.765352e-06
3.08          	6.022549e-07	5.334858e-07	1.472004e-06
3.09          	7.069416e-07	5.867224e-07	1.819607e-06
3.1           	6.300766e-07	5.391514e-07	1.485477e-06
3.11          	7.415795e-07	5.939416e-07	1.864352e-06
3.12          	6.582122e-07	5.457293e-07	1.507890e-06
3.13          	7.759664e-07	6.010727e-07	1.917747e-06
3.14          	6.875858e-07	5.540572e-07	1.557605e-06
3.15          	8.111297e-07	6.093500e-07	2.001038e-06
3.16          	7.154864e-07	5.642741e-07	1.602213e-06
3.17          	8.455567e-07	6.177168e-07	2.072216e-06
3.18          	7.445819e-07	5.737090e-07	1.644560e-06
3.19          	8.778011e-07	6.255375e-07	2.109729e-06
3.2           	7.709663e-07	5.833375e-07	1.660859e-06
3.21          	9.122563e-07	6.329989e-07	2.188761e-06
3.22          	8.011293e-07	5.938580e-07	1.693966e-06
3.23          	9.080496e-07	6.244576e-07	2.163322e-06
3.24          	8.269535e-07	5.958182e-07	1.731496e-06
3.25          	9.359559e-07	6.345303e-07	2.199797e-06
3.26          	8.556662e-07	6.143075e-07	1.750346e-06
3.27          	9.657482e-07	6.538163e-07	2.247517e-06
3.28          	8.858993e-07	6.368951e-07	1.770214e-06
3.29          	9.907122e-07	6.722185e-07	2.286014e-06
3.3           	9.102931e-07	6.551586e-07	1.798032e-06
3.31          	9.291818e-08	1.766947e-05	6.907409e-05
3.32          	9.131011e-07	7.349943e-07	2.770431e-06
3.33          	5.137353e-07	7.578329e-07	1.743666e-06
3.34          	5.782977e-07	7.167453e-07	1.528568e-06
3.35          	6.889138e-07	7.345905e-07	1.770659e-06
3.36          	4.441366e-07	6.739525e-07	1.133167e-06
3.37          	5.244464e-07	7.003907e-07	1.304653e-06
3.38          	4.425386e-07	6.553366e-07	1.048704e-06
3.39          	5.221463e-07	6.858745e-07	1.210736e-06
3.4           	4.452795e-07	6.576662e-07	1.034129e-06
3.41          	4.677317e-07	7.066957e-07	1.048277e-06
3.42          	4.235425e-07	6.889682e-07	1.003911e-06
3.43          	4.672441e-07	7.287604e-07	1.025750e-06
3.44          	4.430297e-07	7.141129e-07	1.051166e-06
3.45          	5.035969e-07	7.487241e-07	1.110523e-06
3.46          	4.725262e-07	7.237769e-07	1.083799e-06
3.47          	5.217683e-07	7.482125e-07	1.185232e-06
3.48          	4.909451e-07	7.263387e-07	1.182509e-06
3.49          	7.802151e-08	1.931121e-05	7.346100e-05
3.5           	4.129697e-07	7.589723e-07	1.825609e-06
3.51          	6.928626e-08	1.276548e-05	6.299072e-05
3.52          	9.714410e-07	9.322304e-07	1.353533e-05
